"Name","Symbol","Exchange","Last","Bid","Ask","Extended Hours","Extended Hours (%)","Open","Prev.","High","Low","Chg.","Chg. %","Vol.","Next Earnings Date","Time","Market Cap","Revenue","Average Volume (3m)","EPS","P/E Ratio","Beta","Dividend","Yield","5 Minutes","15 Minutes","30 Minutes","Hourly","5 Hours","Daily","Weekly","Monthly","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"AeroVironment Inc","AVAV.O","NASDAQ","264.63","-","-","265.39","0.29%","280.83","281.67","285.00","263.95","-17.04","-6.05%","1,116,691","Mar 10, 2026","20/02","13,150,000,000","1,370,000,000","1,374,259","-1.8227","-146.20","1.16","-","-","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Neutral","Neutral","Sell","Strong Buy","-6.05%","8.51%","-14.01%","9.40%","70.96%","207.32%"
"Bloom Energy Corp","BE","NYSE","147.55","-","-","147.92","0.25%","155.83","159.00","159.11","144.06","-11.45","-7.20%","10,179,341","May 06, 2026","20/02","41,390,000,000","2,020,000,000","12,603,663","-0.3679","-394.84","3.12","-","-","Buy","Strong Sell","Strong Sell","Strong Sell","Neutral","Buy","Strong Buy","Strong Buy","-7.20%","5.59%","1.84%","69.81%","510.47%","559.29%"
"Nuscale Power Corp","SMR","NYSE","13.440","-","-","13.469","0.067%","14.245","14.640","14.560","13.330","-1.200","-8.20%","25,553,548","Feb 26, 2026","20/02","3,800,000,000","63,900,000","26,264,244","-1.9529","-6.87","2.1","-","-","Neutral","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-8.20%","-6.08%","-32.02%","-5.15%","-29.41%","30.11%"
"Stem Inc","STEM.K","NYSE","11.260","-","-","11.105","-1.377%","11.400","11.470","11.846","11.015","-0.210","-1.83%","137,931","--","20/02","94,470,000","164,950,000","217,560","-13.508","-0.83","1.43","-","-","Neutral","Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-1.83%","-0.35%","-39.95%","-25.18%","-0.27%","-93.19%"
"Terawulf Inc","WULF.O","NASDAQ","15.010","-","-","14.980","-0.200%","15.330","15.470","15.790","14.625","-0.460","-2.97%","27,157,246","Feb 26, 2026","20/02","6,280,000,000","167,600,000","31,065,072","-1.4434","-10.37","4.34","-","-","Neutral","Buy","Neutral","Strong Sell","Sell","Buy","Strong Buy","Strong Buy","-2.97%","-7.69%","6.30%","30.64%","267.89%","2062.20%"
"Nextera Energy Inc","NEE","NYSE","92.18","-","-","92.34","0.17%","92.19","91.64","92.45","91.31","+0.54","+0.59%","7,175,568","Apr 28, 2026","20/02","192,060,000,000","27,410,000,000","9,423,750","3.31","27.93","0.761","2.49","2.7%","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy","0.59%","-1.73%","8.69%","14.82%","28.78%","26.50%"
"ATAI Beckley Inc","ATAI.O","NASDAQ","3.880","-","-","3.950","1.804%","3.830","3.820","4.030","3.820","+0.060","+1.57%","3,310,511","Mar 26, 2026","20/02","1,410,000,000","3,020,000","3,686,689","-0.8206","-4.75","1.62","-","-","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy","Buy","Neutral","Buy","1.57%","8.68%","-6.51%","-5.13%","94.97%","128.24%"
"Schrodinger Inc","SDGR.O","NASDAQ","11.53","-","-","11.53","0.09%","11.69","11.89","11.99","11.42","-0.36","-3.03%","1,284,146","Feb 25, 2026","20/02","849,350,000","256,950,000","1,173,305","-2.4029","-4.79","1.57","-","-","Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-3.03%","1.14%","-29.78%","-35.51%","-49.07%","-48.60%"
"Recursion Pharmaceuticals Inc","RXRX.O","NASDAQ","3.42","-","-","3.44","0.29%","3.64","3.72","3.70","3.38","-0.30","-8.06%","18,917,462","Feb 25, 2026","20/02","1,780,000,000","43,690,000","21,948,778","-1.7839","-1.91","0.92","-","-","Neutral","Neutral","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","Strong Sell","-8.06%","-2.01%","-27.70%","-16.38%","-63.15%","-56.43%"
"Tempus AI Inc","TEM.O","NASDAQ","58.37","-","-","58.57","0.36%","61.88","59.96","62.00","57.68","-1.59","-2.65%","7,902,968","Feb 24, 2026","20/02","10,380,000,000","1,110,000,000","4,855,137","-1.1891","-63.81","3.08","-","-","Neutral","Neutral","Neutral","Sell","Buy","Neutral","Strong Sell","Neutral","-2.65%","12.36%","-10.64%","-1.15%","-14.28%","-"
